iter	RMSE
0	0.7492713986
1	0.6852152311
2	0.6278880475
3	0.5756209617
4	0.5269985638
5	0.4836625454
6	0.444659173
7	0.4112093907
8	0.3805636665
9	0.3524768548
10	0.3276259955
11	0.3055525993
12	0.2848855852
13	0.2674520767
14	0.2531027672
15	0.2392676244
16	0.2269345344
17	0.2164643797
18	0.2076745316
19	0.1990938584
20	0.1922380598
21	0.1857981022
22	0.1795725898
23	0.1748575348
24	0.1705007256
25	0.1669304198
26	0.1641846278
27	0.1614534693
28	0.1596314781
29	0.157494135
30	0.1557775428
31	0.1536613575
32	0.1519155302
33	0.1501926468
34	0.1485987683
35	0.147307781
36	0.1463091963
37	0.1454237858
38	0.144328363
39	0.1437743761
40	0.1430053934
41	0.1420805956
42	0.1415897236
43	0.1407027045
44	0.1400438165
45	0.139309331
46	0.1386868452
47	0.1381056044
48	0.1376631186
49	0.1371995943
50	0.1367701165
51	0.136392254
52	0.1360411337
53	0.1356073831
54	0.1351212359
55	0.1347571408
56	0.1343327325
57	0.1338988715
58	0.1336668811
59	0.1332743655
60	0.1328410676
61	0.1324820977
62	0.1321514761
63	0.1317643676
64	0.131498177
65	0.1311046744
66	0.1307573094
67	0.1306080761
68	0.1303841775
69	0.1298840558
70	0.1295301685
71	0.1291166095
72	0.1288412756
73	0.1284208647
74	0.1280718732
75	0.1278431667
76	0.1275394131
77	0.1273010985
78	0.1269790989
79	0.1266453887
80	0.126410226
81	0.1261806128
82	0.1258623588
83	0.1255160286
84	0.1251793499
85	0.1248840623
86	0.124671422
87	0.1243908627
88	0.1242015373
89	0.1238022297
90	0.1235588192
91	0.123290732
92	0.1229976288
93	0.122653729
94	0.1223008865
95	0.1220975479
96	0.121902962
97	0.1217125655
98	0.1213760362
99	0.1209467367
100	0.1205418823
101	0.1203539933
102	0.1200255937
103	0.1198581164
104	0.1195000024
105	0.1192357982
106	0.1189993337
107	0.1188561663
108	0.1184518987
109	0.1180161163
110	0.1175792161
111	0.1174330959
112	0.1170068007
113	0.1167416175
114	0.1164129642
115	0.1162624899
116	0.1159002719
117	0.1156029161
118	0.1154434529
119	0.1151550589
120	0.1147590435
121	0.114421903
122	0.1142891413
123	0.1139656076
124	0.1138487181
125	0.1135861008
126	0.1133788507
127	0.113019952
128	0.1126973945
129	0.1123673449
130	0.112244301
131	0.1118960022
132	0.111687932
133	0.1114458037
134	0.1110055344
135	0.1108596083
136	0.1105419147
137	0.1103149854
138	0.1100969155
139	0.1097321352
140	0.1096243005
141	0.109522742
142	0.1092559375
143	0.1090300912
144	0.1089296294
145	0.1084827855
146	0.1080873871
147	0.1078525103
148	0.1076088633
149	0.107344565
150	0.1072324375
151	0.1070352585
152	0.1067400286
153	0.1065373652
154	0.1062918941
155	0.1060186523
156	0.1057162791
157	0.1056203393
158	0.1050852511
159	0.104833122
160	0.1046116801
161	0.1043450637
162	0.1041162115
163	0.1039946736
164	0.1037064308
165	0.1036195982
166	0.1035321503
167	0.103213554
168	0.1029564691
169	0.1026154164
170	0.102449455
171	0.1022579473
172	0.1020084207
173	0.1016309828
174	0.1014124485
175	0.1012481936
176	0.1010444268
177	0.1008896751
178	0.1007771415
179	0.1006448172
180	0.1004086654
181	0.1003318669
182	0.1000282677
183	0.09969719874
184	0.09950636886
185	0.09943262293
186	0.09911761901
187	0.09895705702
188	0.09876591702
189	0.09849235627
190	0.09830609208
191	0.0980988681
192	0.09796149863
193	0.0977042607
194	0.09761923667
195	0.09751760163
196	0.09724922279
197	0.09709405542
198	0.09698902015
199	0.09685932713
200	0.09663664273
201	0.0964833348
202	0.0962992543
203	0.0962016363
204	0.09607275193
205	0.09589988636
206	0.09583805209
207	0.09556996887
208	0.09534099581
209	0.09525101081
210	0.09516157124
211	0.09495432955
212	0.09475712776
213	0.09460825513
214	0.09455186961
215	0.09438114436
216	0.09419045639
217	0.09396482465
218	0.09377516873
219	0.09360751571
220	0.09350984338
221	0.09336869967
222	0.09331134422
223	0.09323992683
224	0.09302191374
225	0.09284951842
226	0.09267198008
227	0.09254098498
228	0.09230234592
229	0.09221983207
230	0.09211910775
231	0.09196010622
232	0.09180135424
233	0.09160095829
234	0.09155273778
235	0.09147272395
236	0.09131404696
237	0.09111464537
238	0.09096286773
239	0.09079206666
240	0.09069882864
241	0.09051581911
242	0.09037515344
243	0.09031737203
244	0.09022556171
245	0.09011407885
246	0.0899777694
247	0.0899274065
248	0.08979105125
249	0.08971684998
250	0.08953774265
251	0.08940888187
252	0.0892518717
253	0.08920433052
254	0.08912357832
255	0.08891301795
256	0.08881699075
257	0.08874307493
258	0.08851225199
259	0.08839124431
260	0.08823087575
261	0.08808831749
262	0.08796802203
263	0.08783436961
264	0.08767581454
265	0.08755498401
266	0.08743981676
267	0.08730571387
268	0.08722766678
269	0.08714997053
270	0.0871076249
271	0.08703769539
272	0.08693839862
273	0.08665964909
274	0.08655711374
275	0.08638420186
276	0.08622797709
277	0.08615720322
278	0.08596067214
279	0.08589037798
280	0.08574187686
281	0.08530071983
282	0.08516163771
283	0.08504160575
284	0.0849106608
285	0.08474073484
286	0.08462739932
287	0.08445426651
288	0.08436482052
289	0.08428186372
290	0.08421817018
291	0.08417261341
292	0.0840669954
293	0.08393290631
294	0.08369828393
295	0.08357831248
296	0.08345386559
297	0.08338735543
298	0.08328899079
299	0.08324717599
